,Case,Beam Type,Method,L/h,k,result
183,356,S-S FG,TBT,5,5.0,11.4822
190,363,S-S FG,TBT,5,5.0,19.56
135,308,S-S FG,TBT,5,10.0,3.4886
184,357,S-S FG,TBT,5,10.0,11.1126
191,364,S-S FG,TBT,5,10.0,18.0553
11,144,S-S FG,TBT,10,0.0,2.805
32,165,S-S FG,TBT,10,0.3,2.738
171,344,S-S FG,TBT,20,0.0,5.4605
192,365,S-S FG,TBT,20,0.0,21.5755
199,372,S-S FG,TBT,20,0.0,47.6037
172,345,S-S FG,TBT,20,0.2,5.1144
193,366,S-S FG,TBT,20,0.2,20.0852
200,373,S-S FG,TBT,20,0.2,44.3818
173,346,S-S FG,TBT,20,0.5,4.7881
194,367,S-S FG,TBT,20,0.5,18.3849
201,374,S-S FG,TBT,20,0.5,40.7639
174,347,S-S FG,TBT,20,1.0,4.5023
195,368,S-S FG,TBT,20,1.0,16.6146
202,375,S-S FG,TBT,20,1.0,37.0394
175,348,S-S FG,TBT,20,2.0,4.269
196,369,S-S FG,TBT,20,2.0,15.1402
203,376,S-S FG,TBT,20,2.0,33.9159
176,349,S-S FG,TBT,20,5.0,4.0095
197,370,S-S FG,TBT,20,5.0,14.3804
204,377,S-S FG,TBT,20,5.0,32.07
177,350,S-S FG,TBT,20,10.0,3.7415
198,371,S-S FG,TBT,20,10.0,13.9476
205,378,S-S FG,TBT,20,10.0,30.8925
18,151,S-S FG,TBT,30,0.0,2.844
39,172,S-S FG,TBT,30,0.3,2.774
25,158,S-S FG,TBT,100,0.0,2.848
46,179,S-S FG,TBT,100,0.3,2.778
262,435,C-C FG,TSDBT,5,0.0,10.1099
263,436,C-C FG,TSDBT,5,0.2,9.5001
264,437,C-C FG,TSDBT,5,0.5,8.7802
265,438,C-C FG,TSDBT,5,1.0,7.9848
266,439,C-C FG,TSDBT,5,2.0,7.2082
267,440,C-C FG,TSDBT,5,5.0,6.5105
268,441,C-C FG,TSDBT,5,10.0,6.1918
2,76,C-C FG,TSDBT,10,0.2,10.9357
78,211,C-C FG,TSDBT,10,0.3,5.993
332,505,C-C FG,TSDBT,20,0.0,12.2269
333,506,C-C FG,TSDBT,20,0.2,11.3884
334,507,C-C FG,TSDBT,20,0.5,10.4354
335,508,C-C FG,TSDBT,20,1.0,9.4446
336,509,C-C FG,TSDBT,20,2.0,8.6141
337,510,C-C FG,TSDBT,20,5.0,8.1569
338,511,C-C FG,TSDBT,20,10.0,7.8945
85,218,C-C FG,TSDBT,30,0.3,6.193
92,225,C-C FG,TSDBT,100,0.3,6.215
402,575,C-F FG,TSDBT,5,0.0,1.8956
403,576,C-F FG,TSDBT,5,0.2,1.7664
404,577,C-F FG,TSDBT,5,0.5,1.6188
405,578,C-F FG,TSDBT,5,1.0,1.4646
406,579,C-F FG,TSDBT,5,2.0,1.3341
407,580,C-F FG,TSDBT,5,5.0,1.2603
408,581,C-F FG,TSDBT,5,10.0,1.2192
57,190,C-F FG,TSDBT,10,0.3,0.972
472,645,C-F FG,TSDBT,20,0.0,1.9496
473,646,C-F FG,TSDBT,20,0.2,1.8143
474,647,C-F FG,TSDBT,20,0.5,1.6609
475,648,C-F FG,TSDBT,20,1.0,1.5022
476,649,C-F FG,TSDBT,20,2.0,1.3711
477,650,C-F FG,TSDBT,20,5.0,1.3046
478,651,C-F FG,TSDBT,20,10.0,1.2653
64,197,C-F FG,TSDBT,30,0.3,0.977
71,204,C-F FG,TSDBT,100,0.3,0.977
542,715,S-S FG,TSDBT,5,0.0,5.1643
543,716,S-S FG,TSDBT,5,0.2,4.8472
544,717,S-S FG,TSDBT,5,0.5,4.5417
545,718,S-S FG,TSDBT,5,1.0,4.2643
546,719,S-S FG,TSDBT,5,2.0,4.0174
547,720,S-S FG,TSDBT,5,5.0,3.7174
548,721,S-S FG,TSDBT,5,10.0,3.4624
15,148,S-S FG,TSDBT,10,0.0,2.818
3,82,S-S FG,TSDBT,10,0.2,5.0566
36,169,S-S FG,TSDBT,10,0.3,2.749
612,785,S-S FG,TSDBT,20,0.0,5.4606
613,786,S-S FG,TSDBT,20,0.2,5.1147
614,787,S-S FG,TSDBT,20,0.5,4.7884
615,788,S-S FG,TSDBT,20,1.0,4.5024
616,789,S-S FG,TSDBT,20,2.0,4.2682
617,790,S-S FG,TSDBT,20,5.0,4.0063
618,791,S-S FG,TSDBT,20,10.0,3.7386
43,176,S-S FG,TSDBT,30,0.3,2.775
22,155,S-S FG,TSDBT,100,0.0,2.846
29,162,S-S FG,TSDBT,100,0.0,2.849
50,183,S-S FG,TSDBT,100,0.3,2.779
